"Period","CommercialSegment","PeriodStartDate","RevenueBucket","Revenue"
"Q3","Commodity","2021-08-26","3m - 3.5m",3153000
"Q2","Follower","2021-04-21","4m - 4.5m",4382001
"Rest of years","Commodity","2017-02-21","4m - 4.5m",4306001
"Q2","Distribution","2021-05-20","3m - 3.5m",3179000
"Q3","Follower","2021-08-01","3m - 3.5m",3285000
"Rest of years","Innovator","2019-01-11","3m - 3.5m",3488000
"Q1","Commodity","2021-03-28","4m - 4.5m",4274001
"Previous Year","Distribution","2020-12-15","3m - 3.5m",3360000
"Q3","Innovator","2021-07-18","3.5m - 4m",3592001
"Q2","Follower","2021-05-25","4m - 4.5m",4143001
"Q2","Commodity","2021-04-18","4.5m - 5m",4597001
"Rest of years","Innovator","2019-12-08","4m - 4.5m",4457001
"Q3","Distribution","2021-08-17","3m - 3.5m",3213000
"Q3","Follower","2021-08-12","4m - 4.5m",4106001
"Q2","Distribution","2021-05-22","3.5m - 4m",3865001
"Rest of years","Follower","2019-09-12","4m - 4.5m",4175001
"Previous Year","Commodity","2020-09-02","3m - 3.5m",3478000
"Q3","Innovator","2021-07-01","3.5m - 4m",3668001
"Q2","Follower","2021-04-30","4.5m - 5m",4819001
"Q1","Distribution","2021-03-02","3m - 3.5m",3333000
"Q3","Innovator","2021-09-03","3.5m - 4m",3817001
"Q2","Commodity","2021-05-03","4m - 4.5m",4091001
"Rest of years","Follower","2019-02-11","3m - 3.5m",3385000
"Rest of years","Distribution","2019-12-12","4m - 4.5m",4253001
"Rest of years","Innovator","2019-07-24","4m - 4.5m",4267001
"Q2","Commodity","2021-06-22","4m - 4.5m",4397001
"Q3","Follower","2021-09-23","3m - 3.5m",3423000
"Rest of years","Distribution","2017-08-22","3m - 3.5m",3086000
"Q1","Commodity","2021-03-21","4m - 4.5m",4422001
"Previous Year","Innovator","2020-09-08","4m - 4.5m",4459001
"Q2","Innovator","2021-04-30","3m - 3.5m",3402000
"Q3","Distribution","2021-08-16","3.5m - 4m",3687001
"Q3","Follower","2021-07-01","3m - 3.5m",3197000
"Rest of years","Commodity","2017-11-04","4m - 4.5m",4465001
"Q2","Distribution","2021-06-25","3m - 3.5m",3104000
"Q3","Follower","2021-07-28","4.5m - 5m",4885001
"Q2","Commodity","2021-05-20","4m - 4.5m",4073001
"Rest of years","Innovator","2017-12-03","3.5m - 4m",3841001
"Q3","Distribution","2021-07-04","4m - 4.5m",4441001
"Q2","Commodity","2021-05-20","3m - 3.5m",3016000
"Rest of years","Innovator","2019-12-22","3m - 3.5m",3381000
"Previous Year","Follower","2020-10-28","4m - 4.5m",4191001
"Q3","Commodity","2021-09-19","4m - 4.5m",4249001
"Q1","Follower","2021-01-01","3m - 3.5m",3189000
"Q2","Distribution","2021-06-06","4m - 4.5m",4233001
"Rest of years","Innovator","2017-05-03","4m - 4.5m",4301001
"Rest of years","Commodity","2018-11-17","3.5m - 4m",3720001
"Q2","Follower","2021-05-03","4m - 4.5m",4028001
"Q3","Distribution","2021-08-22","3m - 3.5m",3166000
"Q1","Innovator","2021-02-22","4m - 4.5m",4133001
"Q2","Innovator","2021-06-05","3m - 3.5m",3003000
"Rest of years","Follower","2017-12-18","3m - 3.5m",3358000
"Previous Year","Commodity","2020-03-19","4m - 4.5m",4392001
"Q2","Distribution","2021-06-18","4m - 4.5m",4078001
"Rest of years","Follower","2019-07-09","4.5m - 5m",4658001
"Q3","Distribution","2021-09-02","3m - 3.5m",3210000
"Q3","Innovator","2021-07-24","3.5m - 4m",3585001
"Q2","Commodity","2021-06-22","3m - 3.5m",3025000
"Q3","Follower","2021-09-25","3m - 3.5m",3331000
"Rest of years","Innovator","2017-11-26","4m - 4.5m",4129001
"Rest of years","Commodity","2018-03-23","4m - 4.5m",4422001
"Q2","Distribution","2021-04-15","4m - 4.5m",4382001
"Q1","Follower","2021-01-12","3m - 3.5m",3433000
"Q3","Commodity","2021-09-21","4m - 4.5m",4477001
"Q3","Distribution","2021-07-27","3.5m - 4m",3622001
"Rest of years","Innovator","2018-05-22","3.5m - 4m",3594001
"Q2","Innovator","2021-05-27","3m - 3.5m",3066000
"Previous Year","Follower","2020-10-25","3m - 3.5m",3391000
"Q3","Distribution","2021-07-30","4m - 4.5m",4054001
"Q2","Commodity","2021-06-07","4m - 4.5m",4408001
"Rest of years","Innovator","2017-07-15","4m - 4.5m",4010001
"Previous Year","Follower","2020-01-05","3m - 3.5m",3077000
"Q2","Commodity","2021-06-04","3m - 3.5m",3301000
"Q3","Distribution","2021-09-10","4m - 4.5m",4257001
"Q1","Innovator","2021-01-09","3.5m - 4m",3524001
"Q2","Follower","2021-06-17","3m - 3.5m",3133000
"Q3","Commodity","2021-08-06","4m - 4.5m",4114001
"Rest of years","Distribution","2019-07-09","4m - 4.5m",4493001
"Rest of years","Distribution","2017-03-22","3m - 3.5m",3284000
"Rest of years","Innovator","2019-03-13","4m - 4.5m",4415001
"Q3","Commodity","2021-09-07","3.5m - 4m",3884001
"Q2","Follower","2021-06-26","4m - 4.5m",4102001
"Rest of years","Follower","2019-03-07","4.5m - 5m",4983001
"Q2","Innovator","2021-06-10","3m - 3.5m",3315000
"Q1","Commodity","2021-01-08","3m - 3.5m",3223000
"Previous Year","Distribution","2020-07-23","4m - 4.5m",4001001
"Rest of years","Follower","2018-02-16","4m - 4.5m",4260001
"Q2","Commodity","2021-05-07","3m - 3.5m",3392000
"Q3","Innovator","2021-09-16","3.5m - 4m",3608001
"Q3","Distribution","2021-08-18","3m - 3.5m",3190000
"Q2","Follower","2021-04-29","4m - 4.5m",4450001
"Q3","Distribution","2021-07-11","3m - 3.5m",3239000
"Rest of years","Commodity","2018-09-03","4m - 4.5m",4018001
"Q2","Innovator","2021-04-21","3m - 3.5m",3487000
"Q1","Distribution","2021-02-26","3m - 3.5m",3479000
"Q3","Commodity","2021-09-26","4.5m - 5m",4541001
"Rest of years","Follower","2018-12-13","3.5m - 4m",3581001
"Q3","Innovator","2021-07-05","3.5m - 4m",3989001
"Q2","Commodity","2021-05-26","3m - 3.5m",3264000
"Previous Year","Distribution","2020-11-09","4m - 4.5m",4181001
"Rest of years","Innovator","2017-08-09","3m - 3.5m",3424000
"Rest of years","Follower","2018-09-19","3m - 3.5m",3297000
"Q2","Commodity","2021-04-03","4m - 4.5m",4325001
"Q3","Innovator","2021-07-13","3.5m - 4m",3766001
"Previous Year","Follower","2020-04-17","4m - 4.5m",4023001
"Rest of years","Distribution","2017-02-24","4m - 4.5m",4461001
"Q2","Commodity","2021-04-03","3m - 3.5m",3310000
"Q1","Follower","2021-01-01","4m - 4.5m",4465001
"Rest of years","Innovator","2017-08-20","4m - 4.5m",4121001
"Q3","Distribution","2021-07-05","3m - 3.5m",3421000
"Q2","Innovator","2021-06-08","3m - 3.5m",3011000
"Q3","Commodity","2021-08-17","4.5m - 5m",4800001
"Q3","Distribution","2021-08-20","3.5m - 4m",3538001
"Rest of years","Follower","2018-06-29","3m - 3.5m",3231000
"Q2","Distribution","2021-04-07","3m - 3.5m",3405000
"Previous Year","Innovator","2020-02-29","4m - 4.5m",4416001
"Rest of years","Commodity","2018-02-04","4m - 4.5m",4218001
"Q1","Follower","2021-03-17","4m - 4.5m",4492001
"Q3","Innovator","2021-07-19","3.5m - 4m",3869001
"Q2","Commodity","2021-04-23","4m - 4.5m",4357001
"Q3","Follower","2021-08-15","3m - 3.5m",3034000
"Rest of years","Distribution","2017-09-04","4m - 4.5m",4215001
"Q2","Commodity","2021-05-24","4m - 4.5m",4047001
"Q2","Distribution","2021-04-05","3m - 3.5m",3443000
"Q3","Follower","2021-08-20","3m - 3.5m",3022000
"Rest of years","Innovator","2019-11-17","3m - 3.5m",3331000
"Q3","Follower","2021-08-02","4m - 4.5m",4441001
"Q2","Innovator","2021-06-29","3m - 3.5m",3277000
"Q1","Commodity","2021-01-26","3.5m - 4m",3666001
"Previous Year","Distribution","2020-06-23","4.5m - 5m",4894001
"Rest of years","Distribution","2019-01-06","4m - 4.5m",4335001
"Q2","Follower","2021-06-28","4m - 4.5m",4420001
"Q3","Innovator","2021-09-04","3.5m - 4m",3625001
"Rest of years","Commodity","2019-02-22","3m - 3.5m",3269000
"Q2","Commodity","2021-04-16","3m - 3.5m",3389000
"Q3","Follower","2021-09-27","4m - 4.5m",4429001
"Rest of years","Innovator","2018-03-29","3.5m - 4m",3561001
"Q1","Distribution","2021-01-30","4m - 4.5m",4326001
"Q3","Commodity","2021-09-07","3m - 3.5m",3349000
"Rest of years","Innovator","2019-10-17","3m - 3.5m",3372000
"Q2","Follower","2021-06-17","3m - 3.5m",3135000
"Previous Year","Distribution","2020-01-06","4m - 4.5m",4363001
"Q2","Commodity","2021-06-22","3m - 3.5m",3294000
"Rest of years","Innovator","2017-10-08","4m - 4.5m",4398001
"Q3","Distribution","2021-09-15","3.5m - 4m",3625001
"Q3","Follower","2021-07-20","4m - 4.5m",4107001
"Q2","Follower","2021-06-29","3m - 3.5m",3331000
"Rest of years","Innovator","2017-03-21","3m - 3.5m",3054000
"Q1","Distribution","2021-02-28","4.5m - 5m",4807001
"Previous Year","Commodity","2020-09-05","4m - 4.5m",4454001
"Q3","Follower","2021-07-29","4m - 4.5m",4058001
"Q2","Commodity","2021-06-10","3m - 3.5m",3229000
"Q2","Innovator","2021-04-12","3m - 3.5m",3133000
"Q3","Distribution","2021-09-07","3m - 3.5m",3159000
"Rest of years","Commodity","2017-09-20","4m - 4.5m",4190001
"Rest of years","Distribution","2017-09-11","3m - 3.5m",3406000
"Q3","Follower","2021-08-07","4m - 4.5m",4066001
"Rest of years","Innovator","2018-03-21","3.5m - 4m",3837001
"Q2","Innovator","2021-05-12","3m - 3.5m",3292000
"Previous Year","Follower","2020-10-29","3m - 3.5m",3461000
"Rest of years","Distribution","2017-12-29","4m - 4.5m",4222001
"Q3","Commodity","2021-08-09","3.5m - 4m",3504001
"Q2","Commodity","2021-05-09","3m - 3.5m",3043000
"Q2","Follower","2021-05-11","4m - 4.5m",4006001
"Q1","Innovator","2021-03-13","3.5m - 4m",3530001
"Rest of years","Distribution","2018-04-26","4m - 4.5m",4462001
"Q3","Distribution","2021-09-19","3m - 3.5m",3291000
"Q3","Follower","2021-08-10","4.5m - 5m",4631001
"Q2","Commodity","2021-05-12","3m - 3.5m",3344000
"Rest of years","Innovator","2019-03-22","4m - 4.5m",4093001
"Q1","Distribution","2021-02-12","4m - 4.5m",4079001
"Previous Year","Follower","2020-02-03","3m - 3.5m",3238000
"Q3","Commodity","2021-07-18","4m - 4.5m",4320001
"Q2","Innovator","2021-04-18","3m - 3.5m",3458000
"Q2","Distribution","2021-06-16","4m - 4.5m",4231001
"Q3","Innovator","2021-07-13","3.5m - 4m",3960001
"Rest of years","Follower","2019-09-01","4m - 4.5m",4138001
"Rest of years","Commodity","2019-10-02","3.5m - 4m",3666001
"Rest of years","Innovator","2018-06-15","4m - 4.5m",4120001
"Q3","Commodity","2021-08-31","3m - 3.5m",3341000
"Q2","Follower","2021-04-10","3m - 3.5m",3366000
"Previous Year","Distribution","2020-02-18","3m - 3.5m",3279000
"Q1","Distribution","2021-01-02","4m - 4.5m",4389001
"Q2","Commodity","2021-06-03","4m - 4.5m",4031001
"Rest of years","Follower","2017-11-08","4m - 4.5m",4012001
"Q3","Innovator","2021-08-31","3.5m - 4m",3654001
"Rest of years","Follower","2017-10-07","3m - 3.5m",3277000
"Q3","Commodity","2021-08-13","3m - 3.5m",3361000
"Q2","Innovator","2021-06-15","3m - 3.5m",3134000
"Q2","Distribution","2021-06-28","4.5m - 5m",4773001
"Q3","Follower","2021-09-16","4m - 4.5m",4480001
"Rest of years","Distribution","2019-04-27","3m - 3.5m",3037000
"Q3","Innovator","2021-09-27","3.5m - 4m",3988001
"Q2","Commodity","2021-04-10","3.5m - 4m",3533001
"Rest of years","Distribution","2017-11-17","3m - 3.5m",3428000
"Previous Year","Follower","2020-10-23","4m - 4.5m",4070001
"Q2","Commodity","2021-05-04","4m - 4.5m",4260001
"Q1","Innovator","2021-03-15","4m - 4.5m",4204001
"Rest of years","Commodity","2017-04-21","4m - 4.5m",4387001
"Q3","Distribution","2021-08-24","3m - 3.5m",3443000
"Q3","Innovator","2021-08-01","3.5m - 4m",3841001
"Rest of years","Follower","2017-06-02","4m - 4.5m",4409001
"Q2","Follower","2021-05-22","3m - 3.5m",3467000
"Previous Year","Innovator","2020-04-20","4m - 4.5m",4432001
"Q2","Distribution","2021-05-17","4m - 4.5m",4073001
"Q3","Commodity","2021-08-15","4.5m - 5m",4930001
"Q1","Commodity","2021-03-20","4m - 4.5m",4381001
"Q3","Distribution","2021-07-15","3m - 3.5m",3307000
"Q2","Innovator","2021-06-08","3m - 3.5m",3018000
"Rest of years","Follower","2019-12-25","4m - 4.5m",4209001
"Rest of years","Commodity","2019-01-19","3m - 3.5m",3148000
"Q2","Distribution","2021-06-20","3.5m - 4m",3901001
"Q3","Follower","2021-08-30","4m - 4.5m",4025001
"Rest of years","Innovator","2017-01-03","3m - 3.5m",3488000
"Rest of years","Distribution","2017-07-01","3m - 3.5m",3090000
"Q2","Innovator","2021-04-22","3m - 3.5m",3116000
"Q1","Commodity","2021-03-28","4m - 4.5m",4453001
"Previous Year","Follower","2020-09-28","3m - 3.5m",3312000
"Q2","Follower","2021-06-26","3m - 3.5m",3403000
"Q3","Innovator","2021-07-20","3.5m - 4m",3516001
"Q3","Distribution","2021-09-30","4m - 4.5m",4323001
"Rest of years","Commodity","2019-08-10","4.5m - 5m",4523001
"Rest of years","Follower","2019-08-15","4m - 4.5m",4023001
"Q2","Innovator","2021-06-21","3m - 3.5m",3357000
"Q3","Commodity","2021-07-11","4m - 4.5m",4320001
"Rest of years","Distribution","2019-06-08","3.5m - 4m",3811001
"Q2","Distribution","2021-06-01","3m - 3.5m",3351000
"Previous Year","Follower","2020-11-02","4m - 4.5m",4081001
"Q3","Innovator","2021-07-13","3.5m - 4m",3726001
"Rest of years","Commodity","2018-09-23","3m - 3.5m",3448000
"Q2","Commodity","2021-06-30","4m - 4.5m",4017001
"Q3","Follower","2021-09-29","3m - 3.5m",3159000
"Q1","Innovator","2021-02-25","3m - 3.5m",3295000
"Rest of years","Distribution","2018-01-08","4m - 4.5m",4336001
"Q2","Distribution","2021-05-02","3m - 3.5m",3418000
"Q3","Commodity","2021-07-16","4m - 4.5m",4293001
"Q3","Follower","2021-08-20","3m - 3.5m",3348000
"Q2","Innovator","2021-06-14","3m - 3.5m",3179000
"Q1","Distribution","2021-02-01","3m - 3.5m",3364000
"Rest of years","Innovator","2018-08-14","4m - 4.5m",4170001
"Rest of years","Commodity","2017-03-22","4m - 4.5m",4309001
"Q2","Follower","2021-05-16","4.5m - 5m",4971001
"Previous Year","Commodity","2020-03-27","4m - 4.5m",4479001
"Q3","Follower","2021-07-17","3.5m - 4m",3968001
"Rest of years","Distribution","2019-10-08","3m - 3.5m",3083000
"Q2","Innovator","2021-04-06","3m - 3.5m",3119000
"Q3","Commodity","2021-07-21","4m - 4.5m",4497001
"Q2","Follower","2021-06-03","4m - 4.5m",4487001
"Previous Year","Innovator","2020-11-22","4m - 4.5m",4323001
"Q1","Distribution","2021-03-07","3m - 3.5m",3333000
"Rest of years","Distribution","2018-03-13","3m - 3.5m",3045000
"Rest of years","Follower","2017-12-10","3m - 3.5m",3301000
"Q3","Commodity","2021-09-06","4m - 4.5m",4152001
"Q3","Innovator","2021-08-15","3.5m - 4m",3782001
"Q2","Follower","2021-05-07","4m - 4.5m",4290001
"Q2","Distribution","2021-04-16","3m - 3.5m",3110000
"Rest of years","Innovator","2018-07-11","4.5m - 5m",4962001
"Q3","Commodity","2021-07-20","4m - 4.5m",4236001
"Q3","Innovator","2021-07-15","3.5m - 4m",3782001
"Rest of years","Distribution","2018-04-18","3.5m - 4m",3673001
"Q2","Commodity","2021-05-03","4m - 4.5m",4104001
"Q1","Follower","2021-03-16","4.5m - 5m",4816001
"Q3","Commodity","2021-08-26","3m - 3.5m",3045000
"Rest of years","Innovator","2017-05-21","4m - 4.5m",4348001
"Previous Year","Follower","2020-11-09","4m - 4.5m",4488001
"Q2","Distribution","2021-04-01","3m - 3.5m",3240000
"Rest of years","Follower","2018-06-06","4m - 4.5m",4295001
"Q2","Distribution","2021-04-26","3m - 3.5m",3154000
"Q3","Innovator","2021-08-21","3.5m - 4m",3903001
"Previous Year","Commodity","2020-09-01","4m - 4.5m",4335001
"Q3","Distribution","2021-07-07","3m - 3.5m",3052000
"Rest of years","Follower","2019-04-05","3m - 3.5m",3142000
"Q2","Commodity","2021-04-18","4m - 4.5m",4210001
"Q3","Innovator","2021-09-24","3.5m - 4m",3896001
"Rest of years","Commodity","2018-03-10","3.5m - 4m",3614001
"Q2","Distribution","2021-05-10","4m - 4.5m",4185001
"Q1","Innovator","2021-01-02","4m - 4.5m",4060001
"Q3","Follower","2021-09-17","4.5m - 5m",4978001
"Q2","Innovator","2021-04-27","3m - 3.5m",3466000
"Rest of years","Follower","2017-06-02","4m - 4.5m",4322001
"Q1","Distribution","2021-01-15","3m - 3.5m",3188000
"Previous Year","Commodity","2020-09-04","4m - 4.5m",4216001
"Q3","Distribution","2021-08-23","3m - 3.5m",3050000
"Rest of years","Innovator","2019-05-14","3m - 3.5m",3032000
"Q2","Follower","2021-04-23","4m - 4.5m",4036001
"Q2","Commodity","2021-05-27","3m - 3.5m",3393000
"Q3","Follower","2021-08-22","3m - 3.5m",3282000
"Rest of years","Commodity","2018-11-24","4m - 4.5m",4101001
"Q3","Distribution","2021-07-27","3m - 3.5m",3055000
"Q2","Innovator","2021-04-20","3m - 3.5m",3058000
"Rest of years","Commodity","2019-11-19","4m - 4.5m",4085001
"Previous Year","Innovator","2020-10-03","4m - 4.5m",4061001
"Q2","Follower","2021-04-05","3m - 3.5m",3264000
"Rest of years","Distribution","2017-09-05","3.5m - 4m",3689001
"Q3","Innovator","2021-07-06","3.5m - 4m",3714001
"Q2","Distribution","2021-05-20","4m - 4.5m",4487001
"Rest of years","Commodity","2019-09-14","4.5m - 5m",4570001
"Q3","Follower","2021-07-11","3m - 3.5m",3004000
"Q1","Distribution","2021-02-27","3m - 3.5m",3293000
"Q3","Innovator","2021-09-17","3.5m - 4m",3515001
"Q2","Follower","2021-04-25","4m - 4.5m",4033001
"Rest of years","Commodity","2017-02-28","4m - 4.5m",4361001
"Q1","Distribution","2021-02-28","3m - 3.5m",3370000
"Rest of years","Follower","2017-01-04","4m - 4.5m",4477001
"Previous Year","Innovator","2020-09-05","4m - 4.5m",4451001
"Q2","Commodity","2021-06-03","4m - 4.5m",4233001
"Q2","Distribution","2021-05-27","3.5m - 4m",3760001
"Rest of years","Follower","2019-06-24","3m - 3.5m",3241000
"Q3","Innovator","2021-08-22","3.5m - 4m",3793001
"Q3","Commodity","2021-09-27","3m - 3.5m",3359000
"Q2","Follower","2021-05-27","4m - 4.5m",4270001
"Rest of years","Distribution","2019-08-23","4m - 4.5m",4373001
"Q3","Commodity","2021-08-27","3m - 3.5m",3335000
"Rest of years","Innovator","2017-12-25","3.5m - 4m",3529001
"Q3","Innovator","2021-09-21","3.5m - 4m",3990001
"Q2","Distribution","2021-06-11","4.5m - 5m",4882001
"Q1","Follower","2021-03-06","4m - 4.5m",4471001
"Previous Year","Commodity","2020-01-17","4m - 4.5m",4112001
"Rest of years","Innovator","2018-05-23","3m - 3.5m",3412000
"Q3","Follower","2021-09-08","3m - 3.5m",3436000
"Q2","Distribution","2021-04-14","4m - 4.5m",4162001
"Q2","Commodity","2021-04-01","3m - 3.5m",3006000
"Q3","Distribution","2021-07-19","3.5m - 4m",3867001
"Rest of years","Follower","2017-08-07","3m - 3.5m",3342000
"Q2","Innovator","2021-05-12","3m - 3.5m",3023000
"Q1","Commodity","2021-03-29","3m - 3.5m",3300000
"Q3","Innovator","2021-09-17","3.5m - 4m",3811001
"Previous Year","Commodity","2020-08-04","4m - 4.5m",4365001
"Q3","Distribution","2021-09-25","4m - 4.5m",4076001
"Q2","Follower","2021-05-05","4m - 4.5m",4493001
"Rest of years","Innovator","2018-04-05","3.5m - 4m",3643001
"Rest of years","Follower","2017-12-04","3m - 3.5m",3474000
"Q2","Distribution","2021-05-25","3m - 3.5m",3292000
"Rest of years","Commodity","2019-10-05","4m - 4.5m",4205001
"Q3","Follower","2021-07-24","4.5m - 5m",4921001
"Previous Year","Innovator","2020-08-12","4m - 4.5m",4088001
"Q1","Commodity","2021-02-14","4m - 4.5m",4001001
"Q2","Distribution","2021-04-02","3m - 3.5m",3058000
"Rest of years","Distribution","2018-08-20","3m - 3.5m",3104000
"Q2","Commodity","2021-05-27","3.5m - 4m",3584001
"Q3","Innovator","2021-09-22","3.5m - 4m",3617001
"Rest of years","Follower","2019-12-21","4m - 4.5m",4160001
"Q3","Distribution","2021-07-27","4m - 4.5m",4265001
"Rest of years","Commodity","2018-09-28","4m - 4.5m",4199001
"Q3","Follower","2021-08-23","3m - 3.5m",3190000
"Q2","Innovator","2021-06-16","3m - 3.5m",3261000
"Rest of years","Distribution","2019-05-01","3m - 3.5m",3326000
"Q3","Commodity","2021-09-12","4m - 4.5m",4190001
"Previous Year","Follower","2020-09-23","3m - 3.5m",3235000
"Q2","Innovator","2021-05-12","3m - 3.5m",3196000
"Q1","Follower","2021-03-07","4m - 4.5m",4356001
"Q3","Distribution","2021-09-27","4.5m - 5m",4962001
"Rest of years","Innovator","2019-06-25","4m - 4.5m",4127001
"Q2","Commodity","2021-06-01","3m - 3.5m",3496000
"Q3","Follower","2021-08-29","3m - 3.5m",3256000
"Rest of years","Distribution","2019-06-16","4m - 4.5m",4021001
"Q2","Commodity","2021-04-23","4m - 4.5m",4006001
"Q2","Innovator","2021-05-03","3m - 3.5m",3285000
"Previous Year","Follower","2020-06-06","4m - 4.5m",4469001
"Rest of years","Commodity","2019-05-21","3m - 3.5m",3012000
"Q3","Distribution","2021-09-11","3.5m - 4m",3834001
"Q2","Innovator","2021-06-06","3m - 3.5m",3246000
"Rest of years","Commodity","2017-10-22","3m - 3.5m",3143000
"Q3","Distribution","2021-08-01","4m - 4.5m",4277001
"Q1","Innovator","2021-02-02","4m - 4.5m",4360001
"Q3","Follower","2021-08-30","3m - 3.5m",3367000
"Q2","Innovator","2021-05-26","3m - 3.5m",3441000
"Rest of years","Commodity","2017-11-22","4m - 4.5m",4321001
